index,iteration,max_attempts,schedule,fitness,runtime
0,100,10,GeomDecay,135.57974226565346,0.02200460433959961
1,100,10,ExpDecay,131.6703553721096,0.006001472473144531
2,100,10,ArithDecay,133.61613252813157,0.009001493453979492
3,100,25,GeomDecay,138.2372483978997,0.007001161575317383
4,100,25,ExpDecay,141.37264372932304,0.00800180435180664
5,100,25,ArithDecay,139.44235800414384,0.009002208709716797
6,100,50,GeomDecay,141.69876774496046,0.00800180435180664
7,100,50,ExpDecay,135.57564083208015,0.007001399993896484
8,100,50,ArithDecay,138.9091742304654,0.008002042770385742
9,200,10,GeomDecay,149.8398876396611,0.012002706527709961
10,200,10,ExpDecay,144.59440366363302,0.013002872467041016
11,200,10,ArithDecay,140.98935869633303,0.015003442764282227
12,200,25,GeomDecay,144.26823550939565,0.015003681182861328
13,200,25,ExpDecay,146.45184152520645,0.015003204345703125
14,200,25,ArithDecay,143.05942796724088,0.016003131866455078
15,200,50,GeomDecay,145.21190636389332,0.015003681182861328
16,200,50,ExpDecay,139.80441584437662,0.01500391960144043
17,200,50,ArithDecay,135.5423706207355,0.015003204345703125
18,300,10,GeomDecay,146.84929450803372,0.012001752853393555
19,300,10,ExpDecay,147.83522512420222,0.02200484275817871
20,300,10,ArithDecay,137.66202138346043,0.010003805160522461
21,300,25,GeomDecay,144.3490335785305,0.015003204345703125
22,300,25,ExpDecay,145.98928479132837,0.02200484275817871
23,300,25,ArithDecay,144.6338749611915,0.02300548553466797
24,300,50,GeomDecay,151.8556727473543,0.021004915237426758
25,300,50,ExpDecay,146.75057495110138,0.023005008697509766
26,300,50,ArithDecay,141.49098780434733,0.024006366729736328
27,400,10,GeomDecay,140.21989764856997,0.013002395629882812
28,400,10,ExpDecay,137.34923176418414,0.009002208709716797
29,400,10,ArithDecay,142.43570016762843,0.03000664710998535
30,400,25,GeomDecay,152.99286290405115,0.028006315231323242
31,400,25,ExpDecay,151.86867951509518,0.0290069580078125
32,400,25,ArithDecay,131.79313717322307,0.032007694244384766
33,400,50,GeomDecay,152.79307864144167,0.027007579803466797
34,400,50,ExpDecay,147.09968885925457,0.029007434844970703
35,400,50,ArithDecay,140.68526398622961,0.031006574630737305
36,500,10,GeomDecay,148.66426737343704,0.01500248908996582
37,500,10,ExpDecay,147.5056049742012,0.02200484275817871
38,500,10,ArithDecay,137.4552074311824,0.006000995635986328
39,500,25,GeomDecay,141.73202523906932,0.018004655838012695
40,500,25,ExpDecay,153.42212089789928,0.03600764274597168
41,500,25,ArithDecay,141.86911204696037,0.03900885581970215
42,500,50,GeomDecay,150.20194282827717,0.032007694244384766
43,500,50,ExpDecay,154.32190089590685,0.03600788116455078
44,500,50,ArithDecay,143.58937799021692,0.03700757026672363
45,600,10,GeomDecay,136.52172753359633,0.004001140594482422
46,600,10,ExpDecay,150.05756005365268,0.022005081176757812
47,600,10,ArithDecay,138.33345066165808,0.04701042175292969
48,600,25,GeomDecay,147.86183104930933,0.0200045108795166
49,600,25,ExpDecay,148.9499474956621,0.036008358001708984
50,600,25,ArithDecay,138.2495910876398,0.04400968551635742
51,600,50,GeomDecay,152.0990609413351,0.038008689880371094
52,600,50,ExpDecay,152.99986053043492,0.04300975799560547
53,600,50,ArithDecay,143.3056909436316,0.04601025581359863
54,700,10,GeomDecay,143.01707643735907,0.00800180435180664
55,700,10,ExpDecay,143.81155807801758,0.017004013061523438
56,700,10,ArithDecay,136.94038503405244,0.011002779006958008
57,700,25,GeomDecay,151.26501267049693,0.029006481170654297
58,700,25,ExpDecay,148.80849144075032,0.03400778770446777
59,700,25,ArithDecay,140.29872241829736,0.054012298583984375
60,700,50,GeomDecay,150.3487040941321,0.04501008987426758
61,700,50,ExpDecay,151.40707896970636,0.048011064529418945
62,700,50,ArithDecay,142.290641442327,0.05301189422607422
63,800,10,GeomDecay,139.49792676176187,0.010001897811889648
64,800,10,ExpDecay,146.31316626414903,0.01400303840637207
65,800,10,ArithDecay,143.44262398419266,0.045009613037109375
66,800,25,GeomDecay,145.97579513285777,0.015003681182861328
67,800,25,ExpDecay,149.7282936983445,0.029007434844970703
68,800,25,ArithDecay,138.93430778040332,0.06101679801940918
69,800,50,GeomDecay,152.31948276345213,0.040009260177612305
70,800,50,ExpDecay,154.82712382400527,0.05401492118835449
71,800,50,ArithDecay,141.66961407616432,0.06101369857788086
72,900,10,GeomDecay,141.64155128313666,0.009002923965454102
73,900,10,ExpDecay,145.42243284775338,0.017006397247314453
74,900,10,ArithDecay,139.1346044621918,0.018004179000854492
75,900,25,GeomDecay,151.02871013305887,0.026006221771240234
76,900,25,ExpDecay,146.10342863612723,0.01800394058227539
77,900,25,ArithDecay,140.15037576918422,0.0670173168182373
78,900,50,GeomDecay,153.22470443753068,0.059015750885009766
79,900,50,ExpDecay,154.28384347222595,0.0600132942199707
80,900,50,ArithDecay,139.20665557637616,0.06701469421386719
81,1000,10,GeomDecay,143.22234404774986,0.01400303840637207
82,1000,10,ExpDecay,141.52423660014009,0.014002799987792969
83,1000,10,ArithDecay,143.30148729590545,0.03801107406616211
84,1000,25,GeomDecay,152.0598292698993,0.03900909423828125
85,1000,25,ExpDecay,152.33004177712687,0.03801131248474121
86,1000,25,ArithDecay,140.904232126177,0.07501673698425293
87,1000,50,GeomDecay,153.6055568522779,0.04101252555847168
88,1000,50,ExpDecay,154.34291025164688,0.05501270294189453
89,1000,50,ArithDecay,139.14730562510758,0.07401919364929199
